# x,y,susceptibility,density
-1.673000000000000000e+06,1.743500000000000000e+06,3.681008755299525204e-02,-1.617728923336991897e+01
-1.672750000000000000e+06,1.743500000000000000e+06,3.684807312665344670e-02,-1.469357924140459204e+01
-1.672500000000000000e+06,1.743500000000000000e+06,3.734603201485720003e-02,-1.111313824256740190e+00
-1.672250000000000000e+06,1.743500000000000000e+06,3.867406584696614358e-02,3.329579556625031955e+01
-1.672000000000000000e+06,1.743500000000000000e+06,3.998265083984400836e-02,3.593568138290316938e+01
-1.671750000000000000e+06,1.743500000000000000e+06,4.105539739786231990e-02,3.674897423832379673e+01
-1.671500000000000000e+06,1.743500000000000000e+06,4.195783310833997581e-02,3.631958338141907916e+01
-1.671250000000000000e+06,1.743500000000000000e+06,4.248159198344536591e-02,3.664575917867898625e+01
-1.671000000000000000e+06,1.743500000000000000e+06,4.266062151493152377e-02,3.712870627318199013e+01
-1.670750000000000000e+06,1.743500000000000000e+06,4.266896411001541711e-02,3.742211638402631024e+01
-1.670500000000000000e+06,1.743500000000000000e+06,4.276077037382405854e-02,3.757094883527514639e+01
